"標題","連結","日期",
"PlayNitride Inc.(中譯:錼創科技股份有限公司，公司簡稱：錼創科技-KY創，公司代號:6854）上市普通股自111年11月11日起恢復交易。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184611a09280337","111年11月10日",
"臺灣證券交易所針對宏旭控股股份有限公司（宏旭-KY，公司代號: 2243）違反重大訊息及資訊申報規定，處以新臺幣5萬元之違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01846118e9640333","111年11月10日",
"臺灣證券交易所接獲新應材股份有限公司（代號：4749）函知撤回其股票上市申請案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01845bc69cb4032b","111年11月09日",
"PlayNitride Inc.(中譯:錼創科技股份有限公司，公司簡稱：錼創科技-KY創，公司代號:6854）上市普通股自111年11月10日起暫停交易。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01845bc3ec3a0329","111年11月09日",
"圓裕企業股份有限公司股票自111年11月10日開始上市買賣","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01845b6b51e90325","111年11月09日",
"證交所訂於111年11月11日舉辦「111年度證券經紀商及自營商高階主管業務宣導會」","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01845b5404690320","111年11月09日",
"臺灣證券交易所對廷鑫興業股份有限公司違反內部控制規定，處以新台幣20萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018451999eec0318","111年11月07日",
"2022年10月集中市場相關數據","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184518ee0890314","111年11月07日",
"「進典工業股份有限公司」（證券代號：6843）採競價拍賣方式辦理承銷，於今（11／7）日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018450ceadf30306","111年11月07日",
"臺灣證券交易所對王品餐飲股份有限公司違反重大訊息規定，處以新台幣3萬元違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018450bb192b02fe","111年11月07日",
"上週外資在集中市場賣超183.87億元，賣超鴻海5.28萬張最多，另買超群創7.20萬張最多。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018450a4335902fa","111年11月07日",
"上市公司111年第3季財務報告公告申報期限及注意事項","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018441e6a69c02c9","111年11月04日",
"本週發行量加權股價指數漲幅約為1.86%，上市股票總市值達40.73兆元。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018441e3650502c5","111年11月04日",
"證交所宅在家學習網11月份介紹牛熊證","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018440a35da102c0","111年11月04日",
"主題式產業講座及力銘等4家上市公司假證交所舉辦之法人說明會於下周登場","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01843d0585f802b8","111年11月03日",
"臺灣證券交易所對京元電子股份有限公司違反重大訊息規定，處以新台幣20萬元違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01843cf4e1ee02b4","111年11月03日",
"芯鼎科技股份有限公司股票自111年11月4日開始上市買賣","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01843ce69e9e02b0","111年11月03日",
"臺灣證券交易所對國喬石油化學股份有限公司違反內部控制規定，處以新台幣100萬元違約金。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01843ca233ca02ab","111年11月03日",
"臺灣證券交易所對瀚宇彩晶股份有限公司違反重大訊息規定，處以新台幣3萬元違約金","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01843c3eff5c02a7","111年11月03日",
"臺灣證券交易所有價證券上市審議委員會審議通過龍德造船工業股份有限公司初次申請股票上市案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01843801f14d02a3","111年11月02日",
"111年截至10月底權證發行與交易統計","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01843296884e0295","111年11月01日",
"111年10月份權證發行與交易統計","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184329540d80291","111年11月01日",
"臺灣證券交易所訂於11月2日召開有價證券上市審議委員會第766次會議，將審議龍德造船工業(股)公司之申請股票上市案。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01842d8b6495028a","111年10月31日",
"泓德能源申請臺灣創新板 證交所續挺「創新＋永續」公司籌資","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01842d3e3e8f0285","111年10月31日",
"「虎門科技股份有限公司」(證券代號：6791)採競價拍賣方式辦理承銷，於今(10/31)日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01842caa1e41027d","111年10月31日",
